instance,instance_sha256,backend,wc,wo,left,right,continuity_left,overtime_left,similarity_left,split_groups_left,continuity_right,overtime_right,similarity_right,split_groups_right,different_caregiver_services,different_slot_services,different_caregiver_groups,workload_l1,parent_sha256,parent_instance,family,target_rho,realized_rho,normal_fraction,anchor,continuity_right_minus_left,overtime_right_minus_left,similarity_right_minus_left,different_objective_vector
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u30_a10_v4_seed1003_critical.txt,c053a43aa8fd2563dd21e64d2ba5d1c899bd359d084897f198583300ea574cfc,gurobi-mip,1,1,lex-cos,weighted,0,21,410,0,5,21,416,5,21,60,15,12,ecef75f227343cde9e2c9dfd880ff2779326fa051917a8a437023079d7d1ee16,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1003_critical.txt,u30_seed1003,0.85,0.8450704225352113,0.7,False,5,0,6,True
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u30_a10_v4_seed1003_critical.txt,c053a43aa8fd2563dd21e64d2ba5d1c899bd359d084897f198583300ea574cfc,gurobi-mip,1,1,lex-overtime,weighted,0,21,410,0,5,21,416,5,21,60,15,12,ecef75f227343cde9e2c9dfd880ff2779326fa051917a8a437023079d7d1ee16,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1003_critical.txt,u30_seed1003,0.85,0.8450704225352113,0.7,False,5,0,6,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v5_seed1003_critical.txt,69db00e7f9c40c35d24dc66816a60cafcf7c59161104b38d3a1791248308f2ee,gurobi-mip,1,1,lex-cos,lex-overtime,1,26,652,1,1,26,652,1,0,0,0,0,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,u40_seed1003,0.98,0.975609756097561,0.85,False,0,0,0,False
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v5_seed1003_critical.txt,69db00e7f9c40c35d24dc66816a60cafcf7c59161104b38d3a1791248308f2ee,gurobi-mip,1,1,lex-cos,weighted,1,26,652,1,15,26,694,15,63,105,39,2,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,u40_seed1003,0.98,0.975609756097561,0.85,False,14,0,42,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v5_seed1003_critical.txt,69db00e7f9c40c35d24dc66816a60cafcf7c59161104b38d3a1791248308f2ee,gurobi-mip,1,1,lex-overtime,weighted,1,26,652,1,15,26,694,15,63,105,39,2,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,u40_seed1003,0.98,0.975609756097561,0.85,False,14,0,42,True
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a10_v4_seed1003_critical.txt,c16775ee84e453efb13d9514c946bb27b9b9d1d82143a09266be4e00bede0e43,gurobi-mip,1,1,lex-cos,lex-overtime,1,0,547,1,1,0,547,1,0,0,0,0,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,u40_seed1003,0.55,0.5498281786941581,1.0,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a10_v4_seed1003_critical.txt,c16775ee84e453efb13d9514c946bb27b9b9d1d82143a09266be4e00bede0e43,gurobi-mip,1,1,lex-cos,weighted,1,0,547,1,7,0,558,7,43,62,31,44,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,u40_seed1003,0.55,0.5498281786941581,1.0,False,6,0,11,True
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a10_v4_seed1003_critical.txt,c16775ee84e453efb13d9514c946bb27b9b9d1d82143a09266be4e00bede0e43,gurobi-mip,1,1,lex-overtime,weighted,1,0,547,1,7,0,558,7,43,62,31,44,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,u40_seed1003,0.55,0.5498281786941581,1.0,False,6,0,11,True
instances/research_depth_load_sweep/rho0.85_normal0.85/instance_u40_a20_v4_seed1002_critical.txt,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,lex-cos,lex-overtime,1,0,529,1,1,0,529,1,0,0,0,0,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,u40_seed1002,0.85,0.8465608465608465,0.85,True,0,0,0,False
instances/research_depth_load_sweep/rho0.85_normal0.85/instance_u40_a20_v4_seed1002_critical.txt,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,lex-cos,weighted,1,0,529,1,9,12,588,9,62,81,46,24,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,u40_seed1002,0.85,0.8465608465608465,0.85,True,8,12,59,True
instances/research_depth_load_sweep/rho0.85_normal0.85/instance_u40_a20_v4_seed1002_critical.txt,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,lex-overtime,weighted,1,0,529,1,9,12,588,9,62,81,46,24,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,u40_seed1002,0.85,0.8465608465608465,0.85,True,8,12,59,True
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u40_a20_v5_seed1002_critical.txt,937d8ade9985b51178578a6b3d3245ab0c304fea9dfc9f413e8a69865b5741a8,gurobi-mip,1,1,lex-cos,lex-overtime,1,35,701,1,1,35,701,1,0,0,0,0,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.85,0.847457627118644,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u40_a20_v5_seed1002_critical.txt,937d8ade9985b51178578a6b3d3245ab0c304fea9dfc9f413e8a69865b5741a8,gurobi-mip,1,1,lex-cos,weighted,1,35,701,1,13,40,743,13,69,111,47,12,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.85,0.847457627118644,0.7,False,12,5,42,True
