"instance_name","ORIGINAL_status","ORIGINAL_best","ORIGINAL_elapsed_s","ORIGINAL_vars","SN-both-none_status","SN-both-none_best","SN-both-none_elapsed_s","SN-both-none_vars","SN-both-ss_status","SN-both-ss_best","SN-both-ss_elapsed_s","SN-both-ss_vars","SN-none-ss_status","SN-none-ss_best","SN-none-ss_elapsed_s","SN-none-ss_vars","TOT-both-none_status","TOT-both-none_best","TOT-both-none_elapsed_s","TOT-both-none_vars","TOT-both-ss_status","TOT-both-ss_best","TOT-both-ss_elapsed_s","TOT-both-ss_vars","TOT-none-none_status","TOT-none-none_best","TOT-none-none_elapsed_s","TOT-none-none_vars","TOT-none-ss_status","TOT-none-ss_best","TOT-none-ss_elapsed_s","TOT-none-ss_vars"
"instance_30_10_4_26","UNSATISFIABLE","","0,079","0","UNSATISFIABLE","","0,105","0","UNSATISFIABLE","","0,106","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,093","0","UNSATISFIABLE","","0,093","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,071","0"
"instance_30_10_4_27","OPTIMUM","390","16,092","13839","OPTIMUM","390","19,327","20862","OPTIMUM","390","18,765","20867","OPTIMUM","390","17,733","14266","OPTIMUM","390","17,052","8639","OPTIMUM","390","14,957","8644","OPTIMUM","390","13,28","5189","OPTIMUM","390","14,111","5616"
"instance_30_10_4_28","UNSATISFIABLE","","0,027","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,04","0","UNSATISFIABLE","","0,045","0","UNSATISFIABLE","","0,046","0","UNSATISFIABLE","","0,027","0","UNSATISFIABLE","","0,029","0"
"instance_30_10_4_29","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,063","0","UNSATISFIABLE","","0,062","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,051","0"
"instance_30_10_4_3","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,063","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,049","0"
"instance_30_10_4_30","OPTIMUM","396","16,461","18708","OPTIMUM","396","18,513","25475","OPTIMUM","396","19,186","25475","OPTIMUM","396","24,569","19120","OPTIMUM","396","18,515","9751","OPTIMUM","396","18,892","9751","OPTIMUM","396","13,944","6420","OPTIMUM","396","16,304","6832"
"instance_30_10_4_31","OPTIMUM","372","9,983","14443","OPTIMUM","372","10,222","22300","OPTIMUM","372","7,127","22312","OPTIMUM","372","8,76","14893","OPTIMUM","372","7,688","9183","OPTIMUM","372","10,121","9195","OPTIMUM","372","8,349","5510","OPTIMUM","372","9,126","5960"
"instance_30_10_4_32","OPTIMUM","423","10,207","15717","OPTIMUM","423","10,77","22795","OPTIMUM","423","12,14","22811","OPTIMUM","423","9,933","15733","OPTIMUM","423","9,566","9509","OPTIMUM","423","12,966","9525","OPTIMUM","423","10,283","6090","OPTIMUM","423","13,874","6106"
"instance_30_10_4_33","OPTIMUM","434","14,52","14662","OPTIMUM","434","12,385","22909","OPTIMUM","434","19,522","22909","OPTIMUM","434","14,522","15103","OPTIMUM","434","19,716","9905","OPTIMUM","434","13,166","9905","OPTIMUM","434","17,873","6159","OPTIMUM","434","12,201","6600"
"instance_30_10_4_34","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,063","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,052","0"
