"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"","8","TOT-both-ss","totalizer","both","slot-service","200","133","1","66","0","66,5","22,0584","18,8915","2426,669","21,9886","12218,57","110890,4","1984,188","466,7068","472,0376","5,3308","0","60,3478"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_20_4","1","ORIGINAL","sorting-network","none","none","250","182","2","66","0","72,8","20,9839","20,3662","1973,6763","20,9265","23253,3956","91213,6044","2167,2198","460,6978","465,456","4,7582","0","52,5497"
"","2","SN-none-ss","sorting-network","none","slot-service","250","182","2","66","0","72,8","21,155","20,4258","1973,8009","21,095","23608,7527","93021,3681","2167,2198","460,6978","465,3736","4,6593","0,0165","52,5497"
"","3","SN-both-none","sorting-network","both","none","250","183","1","66","0","73,2","23,6968","21,1579","1946,946","23,6237","31219,5355","115864,0656","2168,8251","461,1148","465,9016","4,776","0,0109","52,7078"
"","4","SN-both-ss","sorting-network","both","slot-service","250","183","1","66","0","73,2","23,5397","20,7013","1946,8311","23,4651","31226,9344","115896,765","2168,8251","461,1148","465,8087","4,6776","0,0164","52,7078"
"","5","TOT-none-none","totalizer","none","none","250","183","1","66","0","73,2","20,0612","18,2161","1944,2848","20,002","8935,9781","97687,6339","2168,8251","461,1148","465,8033","4,6776","0,0109","52,7078"
"","6","TOT-none-ss","totalizer","none","slot-service","250","182","2","66","0","72,8","19,5282","18,1104","1972,6165","19,4663","9282,5604","99348,0385","2167,2198","460,6978","465,3571","4,6484","0,011","52,5497"
"","7","TOT-both-none","totalizer","both","none","250","183","1","66","0","73,2","21,5495","19,7158","1945,3742","21,478","12663,776","116579,4426","2168,8251","461,1148","465,8962","4,7705","0,0109","52,7078"
"","8","TOT-both-ss","totalizer","both","slot-service","250","183","1","66","0","73,2","21,3612","19,7784","1945,2364","21,2888","12671,1749","116612,1421","2168,8251","461,1148","465,8852","4,7705","0","52,7078"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_20_5","1","ORIGINAL","sorting-network","none","none","300","231","2","67","0","77","22,7121","21,4289","1673,488","22,6479","26111,7","104276,3","2375,883","481,013","485,9351","4,9221","0","61,4478"
"","2","SN-none-ss","sorting-network","none","slot-service","300","231","2","67","0","77","23,0673","22,1311","1673,762","23,0001","26466,81","106176,6","2375,883","481,013","485,8831","4,8571","0,013","61,4478"
"","3","SN-both-none","sorting-network","both","none","300","232","1","67","0","77,3","25,3653","23,8114","1651,616","25,2848","34432,53","130138,5","2376,25","481,2543","486,2155","4,9526","0,0086","61,4247"
"","4","SN-both-ss","sorting-network","both","slot-service","300","232","1","67","0","77,3","25,4753","24,3056","1651,701","25,3933","34440,94","130175,2","2376,25","481,2543","486,1164","4,8491","0,0129","61,4247"
"","5","TOT-none-none","totalizer","none","none","300","232","1","67","0","77,3","21,4957","20,314","1648,623","21,429","9889,526","112204,4","2376,25","481,2543","486,1379","4,875","0,0086","61,4247"
"","6","TOT-none-ss","totalizer","none","slot-service","300","231","2","67","0","77","20,9678","19,684","1672,145","20,898","10241,85","114051,4","2375,883","481,013","485,8571","4,8355","0,0087","61,4478"
