instance_name;lex-overtime__ORIGINAL_status;lex-overtime__ORIGINAL_weighted_reference;lex-overtime__ORIGINAL_stages;lex-overtime__ORIGINAL_elapsed_s;lex-overtime__ORIGINAL_vars;lex-overtime__SN-both-none_status;lex-overtime__SN-both-none_weighted_reference;lex-overtime__SN-both-none_stages;lex-overtime__SN-both-none_elapsed_s;lex-overtime__SN-both-none_vars;lex-overtime__SN-both-ss_status;lex-overtime__SN-both-ss_weighted_reference;lex-overtime__SN-both-ss_stages;lex-overtime__SN-both-ss_elapsed_s;lex-overtime__SN-both-ss_vars;lex-overtime__SN-none-ss_status;lex-overtime__SN-none-ss_weighted_reference;lex-overtime__SN-none-ss_stages;lex-overtime__SN-none-ss_elapsed_s;lex-overtime__SN-none-ss_vars;lex-overtime__TOT-both-none_status;lex-overtime__TOT-both-none_weighted_reference;lex-overtime__TOT-both-none_stages;lex-overtime__TOT-both-none_elapsed_s;lex-overtime__TOT-both-none_vars;lex-overtime__TOT-both-ss_status;lex-overtime__TOT-both-ss_weighted_reference;lex-overtime__TOT-both-ss_stages;lex-overtime__TOT-both-ss_elapsed_s;lex-overtime__TOT-both-ss_vars;lex-overtime__TOT-none-none_status;lex-overtime__TOT-none-none_weighted_reference;lex-overtime__TOT-none-none_stages;lex-overtime__TOT-none-none_elapsed_s;lex-overtime__TOT-none-none_vars;lex-overtime__TOT-none-ss_status;lex-overtime__TOT-none-ss_weighted_reference;lex-overtime__TOT-none-ss_stages;lex-overtime__TOT-none-ss_elapsed_s;lex-overtime__TOT-none-ss_vars
instance_30_10_4_2;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.043;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.045;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.038;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.048;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.07;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.042;0
instance_30_10_4_23;OPTIMUM;378.0;0 | 0 | 378;42.657;84165;OPTIMUM;378.0;0 | 0 | 378;43.136;91556;OPTIMUM;378.0;0 | 0 | 378;41.055;91557;OPTIMUM;378.0;0 | 0 | 378;40.656;84584;OPTIMUM;378.0;0 | 0 | 378;41.457;76172;OPTIMUM;378.0;0 | 0 | 378;42.437;76173;OPTIMUM;378.0;0 | 0 | 378;42.33;72678;OPTIMUM;378.0;0 | 0 | 378;41.399;73097
instance_30_10_4_24;OPTIMUM;384.0;0 | 1 | 385;60.43;74154;OPTIMUM;384.0;0 | 1 | 385;59.842;81682;OPTIMUM;384.0;0 | 1 | 385;61.157;81685;OPTIMUM;384.0;0 | 1 | 385;59.391;74574;OPTIMUM;384.0;0 | 1 | 385;59.871;69564;OPTIMUM;384.0;0 | 1 | 385;60.096;69567;OPTIMUM;384.0;0 | 1 | 385;58.103;66122;OPTIMUM;384.0;0 | 1 | 385;59.14;66542
instance_30_10_4_25;OPTIMUM;443.0;0 | 0 | 443;54.153;64625;OPTIMUM;443.0;0 | 0 | 443;55.784;71939;OPTIMUM;443.0;0 | 0 | 443;55.528;71942;OPTIMUM;443.0;0 | 0 | 443;55.182;65053;OPTIMUM;443.0;0 | 0 | 443;53.741;57326;OPTIMUM;443.0;0 | 0 | 443;53.737;57329;OPTIMUM;443.0;0 | 0 | 443;53.565;53730;OPTIMUM;443.0;0 | 0 | 443;54.608;54158
instance_30_10_4_26;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_27;OPTIMUM;360.0;0 | 4 | 364;55.858;79864;OPTIMUM;360.0;0 | 4 | 364;57.478;86887;OPTIMUM;360.0;0 | 4 | 364;57.355;86892;OPTIMUM;360.0;0 | 4 | 364;55.05;80291;OPTIMUM;360.0;0 | 4 | 364;54.697;74664;OPTIMUM;360.0;0 | 4 | 364;57.306;74669;OPTIMUM;360.0;0 | 4 | 364;42.434;71214;OPTIMUM;360.0;0 | 4 | 364;47.597;71641
instance_30_10_4_28;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.029;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.024;0;UNSATISFIABLE;None;;0.029;0
instance_30_10_4_29;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_3;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_30;OPTIMUM;358.0;0 | 1 | 359;42.974;77911;OPTIMUM;358.0;0 | 1 | 359;42.594;84678;OPTIMUM;358.0;0 | 1 | 359;43.496;84678;OPTIMUM;358.0;0 | 1 | 359;43.058;78323;OPTIMUM;358.0;0 | 1 | 359;41.785;68954;OPTIMUM;358.0;0 | 1 | 359;41.575;68954;OPTIMUM;358.0;0 | 1 | 359;43.508;65623;OPTIMUM;358.0;0 | 1 | 359;42.108;66035
instance_30_10_4_31;OPTIMUM;369.0;0 | 6 | 375;55.891;72364;OPTIMUM;369.0;0 | 6 | 375;56.374;80221;OPTIMUM;369.0;0 | 6 | 375;54.24;80233;OPTIMUM;369.0;0 | 6 | 375;53.938;72814;OPTIMUM;369.0;0 | 6 | 375;54.793;67104;OPTIMUM;369.0;0 | 6 | 375;53.696;67116;OPTIMUM;369.0;0 | 6 | 375;48.635;63431;OPTIMUM;369.0;0 | 6 | 375;52.259;63881
instance_30_10_4_32;OPTIMUM;419.0;0 | 0 | 419;56.979;82138;OPTIMUM;419.0;0 | 0 | 419;56.493;89216;OPTIMUM;419.0;0 | 0 | 419;56.576;89232;OPTIMUM;419.0;0 | 0 | 419;56.013;82154;OPTIMUM;419.0;0 | 0 | 419;57.705;75930;OPTIMUM;419.0;0 | 0 | 419;56.806;75946;OPTIMUM;419.0;0 | 0 | 419;57.527;72511;OPTIMUM;419.0;0 | 0 | 419;56.59;72527
instance_30_10_4_33;OPTIMUM;433.0;0 | 0 | 433;68.226;70163;OPTIMUM;433.0;0 | 0 | 433;68.63;78410;OPTIMUM;433.0;0 | 0 | 433;68.643;78410;OPTIMUM;433.0;0 | 0 | 433;68.28;70604;OPTIMUM;433.0;0 | 0 | 433;68.177;65406;OPTIMUM;433.0;0 | 0 | 433;68.175;65406;OPTIMUM;433.0;0 | 0 | 433;67.957;61660;OPTIMUM;433.0;0 | 0 | 433;68.082;62101
instance_30_10_4_34;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.053;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_36;OPTIMUM;385.0;0 | 0 | 385;52.431;71974;OPTIMUM;385.0;0 | 0 | 385;52.788;78149;OPTIMUM;385.0;0 | 0 | 385;52.776;78160;OPTIMUM;385.0;0 | 0 | 385;52.469;72366;OPTIMUM;385.0;0 | 0 | 385;52.176;63933;OPTIMUM;385.0;0 | 0 | 385;52.159;63944;OPTIMUM;385.0;0 | 0 | 385;52.05;60914;OPTIMUM;385.0;0 | 0 | 385;52.136;61306
instance_30_10_4_37;OPTIMUM;432.0;0 | 0 | 432;64.795;73650;OPTIMUM;432.0;0 | 0 | 432;68.703;80887;OPTIMUM;432.0;0 | 0 | 432;67.542;80887;OPTIMUM;432.0;0 | 0 | 432;68.253;74071;OPTIMUM;432.0;0 | 0 | 432;67.425;68334;OPTIMUM;432.0;0 | 0 | 432;67.413;68334;OPTIMUM;432.0;0 | 0 | 432;66.875;64839;OPTIMUM;432.0;0 | 0 | 432;66.412;65260
instance_30_10_4_38;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.053;0
instance_30_10_4_39;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_4;OPTIMUM;426.0;0 | 0 | 426;66.811;77796;OPTIMUM;426.0;0 | 0 | 426;67.24;84971;OPTIMUM;426.0;0 | 0 | 426;68.433;84991;OPTIMUM;426.0;0 | 0 | 426;68.046;78233;OPTIMUM;426.0;0 | 0 | 426;66.594;72589;OPTIMUM;426.0;0 | 0 | 426;67.678;72609;OPTIMUM;426.0;0 | 0 | 426;66.41;69115;OPTIMUM;426.0;0 | 0 | 426;67.621;69552
instance_30_10_4_40;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.07;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.039;0
instance_30_10_4_41;OPTIMUM;338.0;0 | 2 | 340;25.884;68385;OPTIMUM;338.0;0 | 2 | 340;26.629;75493;OPTIMUM;338.0;0 | 2 | 340;26.512;75517;OPTIMUM;338.0;0 | 2 | 340;24.258;68811;OPTIMUM;338.0;0 | 2 | 340;26.239;67500;OPTIMUM;338.0;0 | 2 | 340;24.277;67524;OPTIMUM;338.0;0 | 2 | 340;17.816;64153;OPTIMUM;338.0;0 | 2 | 340;19.339;64579
instance_30_10_4_42;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_43;OPTIMUM;403.0;0 | 1 | 404;64.386;71629;OPTIMUM;403.0;0 | 1 | 404;61.901;78172;OPTIMUM;403.0;0 | 1 | 404;61.5;78178;OPTIMUM;403.0;0 | 1 | 404;60.072;72029;OPTIMUM;403.0;0 | 1 | 404;61.229;62716;OPTIMUM;403.0;0 | 1 | 404;59.89;62722;OPTIMUM;403.0;0 | 1 | 404;56.584;59526;OPTIMUM;403.0;0 | 1 | 404;59.845;59926
instance_30_10_4_44;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.093;0;UNSATISFIABLE;None;;0.091;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_45;OPTIMUM;357.0;0 | 0 | 357;34.669;72924;OPTIMUM;357.0;0 | 0 | 357;41.62;80324;OPTIMUM;357.0;0 | 0 | 357;38.407;80332;OPTIMUM;357.0;0 | 0 | 357;33.302;73354;OPTIMUM;357.0;0 | 0 | 357;36.996;67552;OPTIMUM;357.0;0 | 0 | 357;37.722;67560;OPTIMUM;357.0;0 | 0 | 357;32.379;64001;OPTIMUM;357.0;0 | 0 | 357;33.95;64431
