cfg_id;label;method;objective_mode;objective_policy;delta;cardinality;ic;sb;total_runs;optimum_n;timeout_n;unsat_n;error_n;optimum_pct;mean_elapsed_s;median_elapsed_s;par2_s;mean_solve_s;mean_solver_calls;mean_variables;mean_hard_clauses;mean_soft_clauses;mean_similarity_reference;mean_similarity_lower_bound;mean_similarity_realized_loss;mean_similarity_realized_loss_ratio;mean_best_value;mean_similarity;mean_continuity;mean_overtime;std_best_value
1;ORIGINAL;lex-overtime;lexicographic;overtime-priority;-;sorting-network;none;none;166;105;1;60;0;63.3;65.8696;67.3702;45.2976;65.6187;2.2711;104954.5943;246229.6132;1104.9057;;;;;440.3048;440.8476;0.5429;0.0;54.7482
2;SN-none-ss;lex-overtime;lexicographic;overtime-priority;-;sorting-network;none;slot-service;166;105;1;60;0;63.3;66.059;68.0463;45.4177;65.796;2.2711;105332.9057;247961.8679;1104.9057;;;;;440.3048;440.8476;0.5429;0.0;54.7482
3;SN-both-none;lex-overtime;lexicographic;overtime-priority;-;sorting-network;both;none;165;104;1;60;0;63.0;66.5361;68.8539;45.6011;66.2413;2.2667;112425.1619;269374.5143;1101.7143;;;;;439.4231;439.9712;0.5481;0.0;54.2591
4;SN-both-ss;lex-overtime;lexicographic;overtime-priority;-;sorting-network;both;slot-service;165;104;1;60;0;63.0;66.5655;68.2335;45.6194;66.2679;2.2667;112432.0762;269405.6286;1101.7143;;;;;439.4231;439.9712;0.5481;0.0;54.2591
5;TOT-none-none;lex-overtime;lexicographic;overtime-priority;-;totalizer;none;none;168;107;1;60;0;63.7;64.7742;67.1329;44.8433;64.5109;2.2857;93041.4815;253974.963;1118.2037;;;;;442.3645;442.8972;0.5327;0.0;56.2903
6;TOT-none-ss;lex-overtime;lexicographic;overtime-priority;-;totalizer;none;slot-service;167;106;1;60;0;63.5;65.2199;66.853;45.008;64.9597;2.2814;93118.0841;254780.1589;1115.6449;;;;;441.4623;442.0;0.5377;0.0;55.7749
7;TOT-both-none;lex-overtime;lexicographic;overtime-priority;-;totalizer;both;none;166;105;1;60;0;63.3;65.7303;67.6433;45.212;65.4644;2.2711;96218.934;270513.6604;1104.9057;;;;;440.3048;440.8476;0.5429;0.0;54.7482
8;TOT-both-ss;lex-overtime;lexicographic;overtime-priority;-;totalizer;both;slot-service;166;105;1;60;0;63.3;65.7031;67.5295;45.1952;65.4324;2.2711;96225.9151;270545.066;1104.9057;;;;;440.3048;440.8476;0.5429;0.0;54.7482
