instance_name;epsilon__delta_0.05__ORIGINAL_status;epsilon__delta_0.05__ORIGINAL_weighted_reference;epsilon__delta_0.05__ORIGINAL_stages;epsilon__delta_0.05__ORIGINAL_elapsed_s;epsilon__delta_0.05__ORIGINAL_vars;epsilon__delta_0.05__SN-both-none_status;epsilon__delta_0.05__SN-both-none_weighted_reference;epsilon__delta_0.05__SN-both-none_stages;epsilon__delta_0.05__SN-both-none_elapsed_s;epsilon__delta_0.05__SN-both-none_vars;epsilon__delta_0.05__SN-both-ss_status;epsilon__delta_0.05__SN-both-ss_weighted_reference;epsilon__delta_0.05__SN-both-ss_stages;epsilon__delta_0.05__SN-both-ss_elapsed_s;epsilon__delta_0.05__SN-both-ss_vars;epsilon__delta_0.05__SN-none-ss_status;epsilon__delta_0.05__SN-none-ss_weighted_reference;epsilon__delta_0.05__SN-none-ss_stages;epsilon__delta_0.05__SN-none-ss_elapsed_s;epsilon__delta_0.05__SN-none-ss_vars;epsilon__delta_0.05__TOT-both-none_status;epsilon__delta_0.05__TOT-both-none_weighted_reference;epsilon__delta_0.05__TOT-both-none_stages;epsilon__delta_0.05__TOT-both-none_elapsed_s;epsilon__delta_0.05__TOT-both-none_vars;epsilon__delta_0.05__TOT-both-ss_status;epsilon__delta_0.05__TOT-both-ss_weighted_reference;epsilon__delta_0.05__TOT-both-ss_stages;epsilon__delta_0.05__TOT-both-ss_elapsed_s;epsilon__delta_0.05__TOT-both-ss_vars;epsilon__delta_0.05__TOT-none-none_status;epsilon__delta_0.05__TOT-none-none_weighted_reference;epsilon__delta_0.05__TOT-none-none_stages;epsilon__delta_0.05__TOT-none-none_elapsed_s;epsilon__delta_0.05__TOT-none-none_vars;epsilon__delta_0.05__TOT-none-ss_status;epsilon__delta_0.05__TOT-none-ss_weighted_reference;epsilon__delta_0.05__TOT-none-ss_stages;epsilon__delta_0.05__TOT-none-ss_elapsed_s;epsilon__delta_0.05__TOT-none-ss_vars
instance_30_10_4_1;TIMEOUT;None;421;300.124;15458;TIMEOUT;None;421;300.131;22401;TIMEOUT;None;421;300.127;22407;TIMEOUT;None;421;300.13;15464;TIMEOUT;None;421;300.134;9576;TIMEOUT;None;421;300.134;9582;TIMEOUT;None;421;300.125;6161;TIMEOUT;None;421;300.122;6167
instance_30_10_4_10;TIMEOUT;None;414;300.12;17109;TIMEOUT;None;414;300.122;23901;TIMEOUT;None;414;300.128;23902;TIMEOUT;None;414;300.129;17515;TIMEOUT;None;414;300.13;9291;TIMEOUT;None;414;300.129;9292;TIMEOUT;None;414;300.131;5936;TIMEOUT;None;414;300.131;6342
instance_30_10_4_11;TIMEOUT;None;402;300.118;16332;TIMEOUT;None;402;300.126;22993;TIMEOUT;None;402;300.13;22993;TIMEOUT;None;402;300.122;16741;TIMEOUT;None;402;300.125;9038;TIMEOUT;None;402;300.129;9038;TIMEOUT;None;402;300.123;5726;TIMEOUT;None;402;300.121;6135
instance_30_10_4_12;TIMEOUT;None;397;300.124;16412;TIMEOUT;None;397;300.127;23897;TIMEOUT;None;397;300.13;23897;TIMEOUT;None;397;300.12;16833;TIMEOUT;None;397;300.123;9578;TIMEOUT;None;397;300.124;9578;TIMEOUT;None;397;300.128;6048;TIMEOUT;None;397;300.121;6469
instance_30_10_4_13;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.028;0
instance_30_10_4_16;TIMEOUT;None;436;300.129;17677;TIMEOUT;None;436;300.131;24538;TIMEOUT;None;436;300.129;24544;TIMEOUT;None;436;300.129;18093;TIMEOUT;None;436;300.132;9903;TIMEOUT;None;436;300.129;9909;TIMEOUT;None;436;300.133;6555;TIMEOUT;None;436;300.127;6971
instance_30_10_4_17;TIMEOUT;None;402;300.122;10648;TIMEOUT;None;402 | 0;300.133;84092;TIMEOUT;None;402;300.126;17932;TIMEOUT;None;402;300.113;11086;TIMEOUT;None;402;300.12;8318;TIMEOUT;None;402;300.115;8327;TIMEOUT;None;402;300.118;4770;TIMEOUT;None;402;300.12;5208
instance_30_10_4_18;TIMEOUT;None;414;300.118;11434;TIMEOUT;None;414;300.125;18227;TIMEOUT;None;414;300.12;18227;TIMEOUT;None;414;300.116;11434;TIMEOUT;None;414;300.127;8848;TIMEOUT;None;414;300.126;8848;TIMEOUT;None;414;300.118;5430;TIMEOUT;None;414;300.128;5430
