instance,instance_sha256,method,maxsat_configuration,maxsat_status,gurobi_status,cplex_status,commercial_status_agreement,commercial_objective_agreement_when_optimal,maxsat_status_agreement_when_decided,maxsat_objective_agreement_when_optimal,maxsat_elapsed_seconds,gurobi_elapsed_seconds,cplex_elapsed_seconds,cplex_over_gurobi_runtime
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_4_2.txt,2e96d7bac6213f53d5b3d28861fee7d391b9ef4018f9b228ccbc5ebb53e8a75d,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,18.50151337,0.075997029,0.125283051,1.6485256417063359
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_1.txt,3209f4efbb6261e5243179bd1967f110079bb5e11dcbedbd7bec54205e3dca99,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,85.5902221,0.171950975,0.351942392,2.0467600837971403
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_1.txt,3209f4efbb6261e5243179bd1967f110079bb5e11dcbedbd7bec54205e3dca99,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,22.81454627,0.062988742,0.111062137,1.763206145631548
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_2.txt,357e7059e67d8c7e3e543b7e1c4fc19ecaa3f9f1d7c22744637d9a4a423bad67,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,165.6971268,0.34275342,0.791013323,2.307820365439388
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_2.txt,357e7059e67d8c7e3e543b7e1c4fc19ecaa3f9f1d7c22744637d9a4a423bad67,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,72.49409952,0.106517714,0.146469292,1.375069802943762
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_5_2.txt,39788863e37d864a0a9e724f8d11d7a7c27c431d02e9232cb76636fbefb9c5a3,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,157.4809747,0.437863708,0.88652826,2.0246671368342772
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_5_2.txt,39788863e37d864a0a9e724f8d11d7a7c27c431d02e9232cb76636fbefb9c5a3,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,27.06247278,0.143235412,0.254926948,1.7797759956176198
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_2.txt,39f0c1737b31ff233f944aff3c159c6831f3b2382c1e9905e5fbd8fa4fe46afa,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,159.0162342,0.363459699,0.804448348,2.213308243564027
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_2.txt,39f0c1737b31ff233f944aff3c159c6831f3b2382c1e9905e5fbd8fa4fe46afa,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,55.43924655,0.108268557,0.197709718,1.826104674139141
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_2.txt,42a8b9d67c40bda8bdb0395c13390d07fdfa256b5a250a32fa0a39cfd18a95c4,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,77.60932168,0.224887252,0.597585087,2.6572652815376125
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_2.txt,42a8b9d67c40bda8bdb0395c13390d07fdfa256b5a250a32fa0a39cfd18a95c4,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,27.41143008,0.076879707,0.150355744,1.9557273286694499
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_4_3.txt,4b99e4b03237aaaa74b67766b67b1fe5b33f60b418617da965b4bcf86a479158,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,84.51729283,0.189510966,0.356109817,1.879098737747978
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_4_3.txt,4b99e4b03237aaaa74b67766b67b1fe5b33f60b418617da965b4bcf86a479158,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,21.77756731,0.053473813,0.074327315,1.3899759682370136
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_4_3.txt,540dd7a199a8914e7bdf5e81792d9df12e9025086de2293f7bf528fc6fc8a239,lex-cos,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.041893496,0.009554756,0.005413363,0.5665621393157503
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_4_3.txt,540dd7a199a8914e7bdf5e81792d9df12e9025086de2293f7bf528fc6fc8a239,weighted,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.054198215,0.00940832,0.007484186,0.7954859103431857
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_1.txt,5a9063809e0e4220042ab177386a21750f25f08afded0ca353b609d8f5d67be2,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,141.8976041,0.48152773,0.897203955,1.8632446256002746
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_1.txt,5a9063809e0e4220042ab177386a21750f25f08afded0ca353b609d8f5d67be2,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,131.5115661,0.223749,1.895041169,8.469495591041747
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_3.txt,607fc8b64d74aa30d93984c24a5bb25420f81ebbec931c4600de2013e14d7278,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,50.69709515,0.195360751,0.307526176,1.5741451362459187
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_3.txt,607fc8b64d74aa30d93984c24a5bb25420f81ebbec931c4600de2013e14d7278,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,12.90214486,0.064431643,0.089787248,1.393527214570642
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_3.txt,618ea043ffced4a8a2322249857f2af19fc51960db3d1d976c2cccb698adfdc4,lex-cos,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.166554312,0.058180845,0.095358263,1.6389975601076263
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_3.txt,618ea043ffced4a8a2322249857f2af19fc51960db3d1d976c2cccb698adfdc4,weighted,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.217630586,0.062542879,0.090652571,1.4494467227835803
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_4_1.txt,65c0693dc59af57df04027c2c836dcf6ddd120661d2dcfb283f947d7e891107f,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,96.02424634,0.170521826,0.431776705,2.5320905547891566
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_4_1.txt,65c0693dc59af57df04027c2c836dcf6ddd120661d2dcfb283f947d7e891107f,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,39.8364008,0.065785961,0.125896129,1.9137233398475397
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_1.txt,6e8782354648467bf973b1b6298113cbb6c30f4937248555f4e2ed6bbd30994a,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,91.86049189,0.222213252,0.461134284,2.075188045040626
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_1.txt,6e8782354648467bf973b1b6298113cbb6c30f4937248555f4e2ed6bbd30994a,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,10.14278997,0.076784611,0.120211066,1.5655619587628047
