instance_sha256,backend,wc,wo,instance,slack_from,slack_to,overtime_reduction,similarity_change
1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,0,1,0,3
1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,1,2,0,3
13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,0,1,0,15
13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,1,2,0,9
148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,0,1,0,8
148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,1,2,0,7
1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,0,1,0,3
1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1,2,0,2
22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,0,1,0,1
22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,1,2,0,1
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,0,1,0,14
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,1,2,0,11
2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,0,1,0,8
