solver,comparison,left_method,right_method,pairs,left_proved_runs,right_proved_runs,both_optimum_pairs,left_par2_seconds,right_par2_seconds,same_objective_vector_pairs,median_similarity_change,median_continuity_change,median_overtime_change,continuity_improved,continuity_equal,continuity_worsened,overtime_decreased,overtime_equal,overtime_increased
Gurobi,weighted-to-continuity-first,weighted,lex-cos,48,48,48,48,0.213128815125,1.0976549949375,0,-36.0,-5.5,-12.0,43,5,0,47,1,0
Gurobi,continuity-first-to-overtime-first,lex-cos,lex-overtime,48,48,48,48,1.0976549949375,0.9116915237291666,45,0.0,0.0,0.0,0,45,3,3,45,0
