cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
6;SN-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;sorting-network;none;slot-service;TIMEOUT;300.1271814;300.0;8.67592989;2;15464;60165;532;;;;;;;similarity_reference;421
6;SN-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;sorting-network;none;slot-service;TIMEOUT;300.123589;300.0;8.731286319;2;15464;60165;532;;;;;;;similarity_reference;421
6;SN-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;sorting-network;none;slot-service;TIMEOUT;300.1237307;300.0;8.738992606;2;15464;60165;532;;;;;;;similarity_reference;421
6;SN-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;sorting-network;none;slot-service;TIMEOUT;300.1296772;300.0;8.787675396;2;15464;60165;532;;;;;;;similarity_reference;421
6;SN-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.10;421;379;;;;sorting-network;none;slot-service;TIMEOUT;300.1212725;300.0;8.782594272;2;15464;60165;532;;;;;;;similarity_reference;421
7;SN-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;sorting-network;both;none;TIMEOUT;300.1240363;300.0;7.922183345;2;22401;81401;532;;;;;;;similarity_reference;421
7;SN-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;sorting-network;both;none;TIMEOUT;300.1229646;300.0;8.08844145;2;22401;81401;532;;;;;;;similarity_reference;421
7;SN-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;sorting-network;both;none;TIMEOUT;300.1217921;300.0;7.984885532;2;22401;81401;532;;;;;;;similarity_reference;421
7;SN-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;sorting-network;both;none;TIMEOUT;300.130574;300.0;8.021593139;2;22401;81401;532;;;;;;;similarity_reference;421
7;SN-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.10;421;379;;;;sorting-network;both;none;TIMEOUT;300.1254694;300.0;8.052664923;2;22401;81401;532;;;;;;;similarity_reference;421
8;SN-both-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;sorting-network;both;slot-service;TIMEOUT;300.1271921;300.0;9.298477122;2;22407;81427;532;;;;;;;similarity_reference;421
8;SN-both-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;sorting-network;both;slot-service;TIMEOUT;300.1261321;300.0;8.176493092;2;22407;81427;532;;;;;;;similarity_reference;421
8;SN-both-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;sorting-network;both;slot-service;TIMEOUT;300.1234887;300.0;8.055813334;2;22407;81427;532;;;;;;;similarity_reference;421
8;SN-both-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;sorting-network;both;slot-service;TIMEOUT;300.126707;300.0;8.01378106;2;22407;81427;532;;;;;;;similarity_reference;421
8;SN-both-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.10;421;379;;;;sorting-network;both;slot-service;TIMEOUT;300.1222949;300.0;8.126961313;2;22407;81427;532;;;;;;;similarity_reference;421
1;ORIGINAL;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0;;;;;;sorting-network;none;none;TIMEOUT;300.1262229;300.0;7.553027292;1;17109;59733;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0;414;414;;;;totalizer;none;none;TIMEOUT;300.1241723;300.0;7.297525607;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.01;414;410;;;;totalizer;none;none;TIMEOUT;300.1214958;300.0;8.195327509;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.025;414;404;;;;totalizer;none;none;TIMEOUT;300.1294839;300.0;7.278210665;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.05;414;394;;;;totalizer;none;none;TIMEOUT;300.1305365;300.0;7.298515361;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.10;414;373;;;;totalizer;none;none;TIMEOUT;300.1198239;300.0;8.236731538;2;5936;57797;533;;;;;;;similarity_reference;414
