cfg_id;label;method;objective_mode;objective_policy;delta;cardinality;ic;sb;total_runs;optimum_n;timeout_n;unsat_n;error_n;optimum_pct;mean_elapsed_s;median_elapsed_s;par2_s;mean_solve_s;mean_solver_calls;mean_variables;mean_hard_clauses;mean_soft_clauses;mean_similarity_reference;mean_similarity_lower_bound;mean_similarity_realized_loss;mean_similarity_realized_loss_ratio;mean_best_value;mean_similarity;mean_continuity;mean_overtime;std_best_value
2;TOT-none-ss;epsilon;epsilon-constraint;similarity-budget;0.05;totalizer;none;slot-service;47;1;24;22;0;2.1;263.5975;263.5975;312.0132;262.9968;1.5745;11111.32;67784.52;533.96;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
3;TOT-both-none;epsilon;epsilon-constraint;similarity-budget;0.05;totalizer;both;none;47;1;24;22;0;2.1;265.8469;265.8469;312.0665;265.2352;1.5745;14190.48;82763.64;533.96;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
4;TOT-both-ss;epsilon;epsilon-constraint;similarity-budget;0.05;totalizer;both;slot-service;47;1;24;22;0;2.1;286.4855;286.4855;312.506;285.8629;1.5745;14196.56;82791.84;533.96;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
5;ORIGINAL;epsilon;epsilon-constraint;similarity-budget;0.05;sorting-network;none;none;47;1;24;22;0;2.1;198.6768;198.6768;310.6321;198.0908;1.5957;23405.08;70803.88;546.24;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
6;SN-none-ss;epsilon;epsilon-constraint;similarity-budget;0.05;sorting-network;none;slot-service;47;1;24;22;0;2.1;194.3136;194.3136;310.5392;193.7532;1.5957;23753.44;72200.12;550.12;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
7;SN-both-none;epsilon;epsilon-constraint;similarity-budget;0.05;sorting-network;both;none;47;1;24;22;0;2.1;182.4195;182.4195;310.2934;181.838;1.6383;36089.72;103456.36;583.08;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
8;SN-both-ss;epsilon;epsilon-constraint;similarity-budget;0.05;sorting-network;both;slot-service;47;1;24;22;0;2.1;270.4871;270.4871;312.1675;269.9043;1.5957;29286.96;89866.88;552.04;377.0;359.0;4.0;0.0106;373.0;373.0;0.0;0.0;
1;TOT-none-none;epsilon;epsilon-constraint;similarity-budget;0.10;totalizer;none;none;49;2;24;23;0;4.1;130.2394;130.2394;299.2124;129.6987;1.7959;40591.1923;126049.6154;620.8077;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
2;TOT-none-ss;epsilon;epsilon-constraint;similarity-budget;0.10;totalizer;none;slot-service;49;4;22;23;0;8.2;179.8671;219.8343;284.0905;179.2296;1.7959;40947.7308;127464.6154;620.8077;374.5;337.5;8.0;0.0218;364.5;366.5;2.0;0.0;18.0462
3;TOT-both-none;epsilon;epsilon-constraint;similarity-budget;0.10;totalizer;both;none;49;3;23;23;0;6.1;176.5645;157.1475;292.4691;175.9443;1.7755;41284.8846;136941.9615;603.9615;372.0;335.3333;9.3333;0.0255;360.0;362.6667;2.6667;0.0;19.1572
4;TOT-both-ss;epsilon;epsilon-constraint;similarity-budget;0.10;totalizer;both;slot-service;47;2;23;22;0;4.3;149.8786;149.8786;300.022;149.2948;1.766;40427.08;135253.64;624.44;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
5;ORIGINAL;epsilon;epsilon-constraint;similarity-budget;0.10;sorting-network;none;none;49;2;24;23;0;4.1;105.4197;105.4197;298.2022;104.8558;1.8163;52031.5;127969.3462;620.8077;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
6;SN-none-ss;epsilon;epsilon-constraint;similarity-budget;0.10;sorting-network;none;slot-service;49;2;24;23;0;4.1;94.7309;94.7309;297.7658;94.2003;1.8163;55474.5385;135554.8077;645.5;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
7;SN-both-none;epsilon;epsilon-constraint;similarity-budget;0.10;sorting-network;both;none;49;2;24;23;0;4.1;136.3429;136.3429;299.4715;135.7837;1.7959;57386.2692;145947.0;618.3462;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
8;SN-both-ss;epsilon;epsilon-constraint;similarity-budget;0.10;sorting-network;both;slot-service;49;2;24;23;0;4.1;132.2436;132.2436;299.3052;131.6799;1.8163;59659.8462;150510.3846;635.5769;367.5;331.5;11.0;0.0304;355.5;356.5;1.0;0.0;24.7487
