instance,instance_sha256,method,sorting_status,totalizer_status,both_proved,both_optimum,status_match_when_decided,objective_match_when_optimum,sorting_elapsed_seconds,totalizer_elapsed_seconds,speedup_sorting_over_totalizer
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_1.txt,79923b863781f16d7454ee58c30f4f907406b3bc9267a30b84288f75affb2358,weighted,OPTIMUM,OPTIMUM,True,True,True,True,55.80791469,38.38895051,1.4537494239511055
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_3.txt,8b57c7c5f2041e8a86e22ed850cedae080f72c24861a8aac967f4d12f815cee8,weighted,OPTIMUM,OPTIMUM,True,True,True,True,51.95826215,60.8684646,0.8536154557445499
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_2.txt,8c591928ac318099edcb620831b2c120f77b89a737b99ab8da3551f3ba8bb800,weighted,OPTIMUM,OPTIMUM,True,True,True,True,11.65826441,6.784824067,1.718285440399762
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_2.txt,94babc1f3be6d34ed96a77652d95cbcc8e5fd65867a338a9f99f8e6635562a3d,weighted,UNSATISFIABLE,UNSATISFIABLE,True,False,True,,0.108397961,0.096920724,1.1184188120592249
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_1.txt,987b2d19f85e05463d5f9116d0c9cb555826e3bdbff02e35da167a3eb6a8ee09,weighted,UNSATISFIABLE,UNSATISFIABLE,True,False,True,,0.253127515,0.205042951,1.2345097149913729
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_2.txt,9bb873764009d45c4b7664f2c1cbef4f4609c4e7b613025f831a0c24320a7ebe,weighted,OPTIMUM,OPTIMUM,True,True,True,True,911.2347433,250.4151867,3.638895688829243
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_1.txt,9f6a97e0d98a957d36f6fdfa2ca9c2b413a21bc4714ecb3ef33d5992a4a521d3,weighted,OPTIMUM,OPTIMUM,True,True,True,True,55.04703722,51.49283508,1.0690232366207482
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_3.txt,9f73b4873d39ff5bde77dcc8fc8f2c843d0369d85a32350bd04fca9451b37af7,weighted,OPTIMUM,OPTIMUM,True,True,True,True,53.9696811,61.94680844,0.8712261770882608
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_1.txt,a3e643aa790c83d208bf030ff6546a5205b4252aeb402eef9516abe30e7ede51,weighted,OPTIMUM,OPTIMUM,True,True,True,True,31.83371552,27.48486155,1.1582272467368495
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_2.txt,a5fd07405bd2138e224fcff99971af5c8fb458055ce1f5659f97abe4d7cf6567,weighted,OPTIMUM,OPTIMUM,True,True,True,True,30.17172725,30.83345659,0.9785385936841536
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_1.txt,ad55cb5a53e14a0fa0f8fabb34d5deca8de3e2646554190b8544a3514eecf69f,weighted,TIMEOUT_FEASIBLE,TIMEOUT_FEASIBLE,False,False,,,3600.051479,3600.073973,
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_2.txt,afda64c6a4d16f0aab56c95960d2776bb1347a6b3d1e106ef997406dfabb7f64,weighted,OPTIMUM,OPTIMUM,True,True,True,True,51.43947413,32.96612764,1.5603735656105708
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_3.txt,b7330396c1f4fb91992463c1b9a718b516add470900d3da1c8fcdecd47cd2351,weighted,OPTIMUM,OPTIMUM,True,True,True,True,20.92730321,17.759821,1.1783510211054493
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_3.txt,c7f907d0a16d86cf532538aaccb5b409cb1f54b68c619425264e5770f92cf9d5,weighted,OPTIMUM,OPTIMUM,True,True,True,True,37.6235319,34.43875645,1.0924764938775833
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_1.txt,cd394004a7efe69c90a3a874859e5ee6d6e07ba5f0f1492e6a72f749c3e07231,weighted,OPTIMUM,OPTIMUM,True,True,True,True,22.25814266,16.440534,1.3538576459864382
