instance_sha256,backend,wc,wo,instance,slack,status,continuity_reference,continuity,overtime,similarity
1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,0,OPTIMUM,0,0,0,415
1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1,OPTIMUM,0,1,0,418
1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,2,OPTIMUM,0,2,0,420
22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,0,OPTIMUM,0,0,0,539
22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,1,OPTIMUM,0,1,0,540
22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,2,OPTIMUM,0,2,0,541
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,0,OPTIMUM,2,2,0,521
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,1,OPTIMUM,2,3,0,535
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,2,OPTIMUM,2,4,0,546
2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,0,OPTIMUM,0,0,0,534
2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,1,OPTIMUM,0,1,0,542
2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,2,OPTIMUM,0,2,0,546
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,0,OPTIMUM,0,0,0,411
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,1,OPTIMUM,0,1,0,420
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,2,OPTIMUM,0,2,0,426
395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,0,OPTIMUM,1,1,0,520
395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,1,OPTIMUM,1,2,0,528
395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,2,OPTIMUM,1,3,0,531
3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,0,OPTIMUM,0,0,0,537
3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,1,OPTIMUM,0,1,0,545
3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,2,OPTIMUM,0,2,0,548
4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,0,OPTIMUM,0,0,0,666
