cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;totalizer;none;none;TIMEOUT;300.1261183;300.0;8.406987332;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.025;414;404;;;;totalizer;none;none;TIMEOUT;300.1294839;300.0;7.278210665;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_11;epsilon;epsilon-constraint;similarity-budget;0.025;402;392;;;;totalizer;none;none;TIMEOUT;300.121122;300.0;10.96113372;2;5726;54938;520;;;;;;;similarity_reference;402
1;TOT-none-none;instance_30_10_4_12;epsilon;epsilon-constraint;similarity-budget;0.025;397;388;;;;totalizer;none;none;TIMEOUT;300.1248869;300.0;5.457112785;2;6048;62607;535;;;;;;;similarity_reference;397
1;TOT-none-none;instance_30_10_4_13;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.034849539;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_14;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.036511729;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_15;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.026030295;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_16;epsilon;epsilon-constraint;similarity-budget;0.025;436;426;;;;totalizer;none;none;TIMEOUT;300.1309202;300.0;6.382830394;2;6555;68091;565;;;;;;;similarity_reference;436
1;TOT-none-none;instance_30_10_4_17;epsilon;epsilon-constraint;similarity-budget;0.025;402;392;;;;totalizer;none;none;TIMEOUT;300.1150316;300.0;5.095831123;2;4770;39967;399;;;;;;;similarity_reference;402
1;TOT-none-none;instance_30_10_4_18;epsilon;epsilon-constraint;similarity-budget;0.025;414;404;;;;totalizer;none;none;TIMEOUT;300.1205748;300.0;6.687505994;2;5430;48777;484;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_19;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.053371827;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_2;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.044782158;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_20;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.03496518;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_21;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.047069893;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_22;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.049230392;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_23;epsilon;epsilon-constraint;similarity-budget;0.025;382;373;;;;totalizer;none;none;TIMEOUT;300.1296308;300.0;10.10028307;2;6257;63444;563;;;;;;;similarity_reference;382
1;TOT-none-none;instance_30_10_4_24;epsilon;epsilon-constraint;similarity-budget;0.025;396;387;;;;totalizer;none;none;TIMEOUT;300.1227555;300.0;16.11671749;2;5370;48224;463;;;;;;;similarity_reference;396
1;TOT-none-none;instance_30_10_4_25;epsilon;epsilon-constraint;similarity-budget;0.025;446;435;;;;totalizer;none;none;TIMEOUT;300.1353204;300.0;2.476310074;2;6809;73557;614;;;;;;;similarity_reference;446
1;TOT-none-none;instance_30_10_4_26;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.057591352;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_27;epsilon;epsilon-constraint;similarity-budget;0.025;405;395;;;;totalizer;none;none;TIMEOUT;300.1192171;300.0;9.349037128;2;5189;43780;480;;;;;;;similarity_reference;405
1;TOT-none-none;instance_30_10_4_28;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.027202815;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_29;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.037720845;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_3;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.038166087;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_30;epsilon;epsilon-constraint;similarity-budget;0.025;407;397;;;;totalizer;none;none;TIMEOUT;300.1239915;300.0;12.22018784;2;6420;66246;606;;;;;;;similarity_reference;407
1;TOT-none-none;instance_30_10_4_31;epsilon;epsilon-constraint;similarity-budget;0.025;381;372;;;;totalizer;none;none;TIMEOUT;300.118875;300.0;3.121656888;2;5510;52622;496;;;;;;;similarity_reference;381
1;TOT-none-none;instance_30_10_4_32;epsilon;epsilon-constraint;similarity-budget;0.025;424;414;;;;totalizer;none;none;TIMEOUT;300.1270994;300.0;6.342587704;2;6090;61899;527;;;;;;;similarity_reference;424
1;TOT-none-none;instance_30_10_4_33;epsilon;epsilon-constraint;similarity-budget;0.025;436;426;;;;totalizer;none;none;TIMEOUT;300.1241738;300.0;11.61970466;2;6159;63611;538;;;;;;;similarity_reference;436
1;TOT-none-none;instance_30_10_4_34;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.038714202;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_35;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.034623398;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_36;epsilon;epsilon-constraint;similarity-budget;0.025;410;400;;;;totalizer;none;none;TIMEOUT;300.1333585;300.0;13.2328556;2;6893;76672;644;;;;;;;similarity_reference;410
1;TOT-none-none;instance_30_10_4_37;epsilon;epsilon-constraint;similarity-budget;0.025;444;433;;;;totalizer;none;none;TIMEOUT;300.1328634;300.0;5.395517883;2;6318;66181;555;;;;;;;similarity_reference;444
1;TOT-none-none;instance_30_10_4_38;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.040914507;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_39;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.037984156;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_4;epsilon;epsilon-constraint;similarity-budget;0.025;431;421;;;;totalizer;none;none;TIMEOUT;300.1226388;300.0;5.403974571;2;5914;59551;500;;;;;;;similarity_reference;431
1;TOT-none-none;instance_30_10_4_40;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.037596888;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_41;epsilon;epsilon-constraint;similarity-budget;0.025;358;350;;;;totalizer;none;none;TIMEOUT;300.1198562;300.0;1.409975356;2;4270;31226;384;;;;;;;similarity_reference;358
1;TOT-none-none;instance_30_10_4_42;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.040675591;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_43;epsilon;epsilon-constraint;similarity-budget;0.025;419;409;;;;totalizer;none;none;TIMEOUT;300.1289829;300.0;14.69029735;2;6319;65912;596;;;;;;;similarity_reference;419
1;TOT-none-none;instance_30_10_4_44;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.045386449;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_45;epsilon;epsilon-constraint;similarity-budget;0.025;371;362;;;;totalizer;none;none;TIMEOUT;300.1276398;300.0;2.265646461;2;5480;51981;483;;;;;;;similarity_reference;371
1;TOT-none-none;instance_30_10_4_46;epsilon;epsilon-constraint;similarity-budget;0.025;;;;;;totalizer;none;none;UNSATISFIABLE;0.026679503;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_47;epsilon;epsilon-constraint;similarity-budget;0.025;399;390;;;;totalizer;none;none;TIMEOUT;300.1214156;300.0;5.084881126;2;4993;41386;426;;;;;;;similarity_reference;399
1;TOT-none-none;instance_30_10_4_48;epsilon;epsilon-constraint;similarity-budget;0.025;377;368;;;;totalizer;none;none;TIMEOUT;300.1234535;300.0;220.378626995;4;129258;282703;891;;;;;;;similarity_reference | continuity | overtime;377 | 0 | 0
