cfg_id;label;method;objective_mode;objective_policy;delta;cardinality;ic;sb;total_runs;optimum_n;timeout_n;unsat_n;error_n;optimum_pct;mean_elapsed_s;median_elapsed_s;par2_s;mean_solve_s;mean_solver_calls;mean_variables;mean_hard_clauses;mean_soft_clauses;mean_similarity_reference;mean_similarity_lower_bound;mean_similarity_realized_loss;mean_similarity_realized_loss_ratio;mean_best_value;mean_similarity;mean_continuity;mean_overtime;std_best_value
1;ORIGINAL;weighted;weighted;weighted-sum;-;sorting-network;none;none;250;161;15;74;0;64.4;53.4524;50.0546;70.6008;53.3501;0.74;48228.3168;198344.559;3773.7143;;;;;684.0373;690.236;6.1739;0.0248;128.5181
2;SN-none-ss;weighted;weighted;weighted-sum;-;sorting-network;none;slot-service;250;160;16;74;0;64.0;52.1514;50.2603;71.9151;52.047;0.736;48436.7875;199903.525;3763.0437;;;;;683.2;689.35;6.15;0.0;129.0036
3;SN-both-none;weighted;weighted;weighted-sum;-;sorting-network;both;none;247;158;15;74;0;64.0;61.4893;55.6761;75.8348;61.3654;0.7368;60952.8861;237694.7278;3739.5759;;;;;681.5127;687.7532;6.2278;0.0127;129.2877
4;SN-both-ss;weighted;weighted;weighted-sum;-;sorting-network;both;slot-service;249;159;16;74;0;63.9;59.2783;57.9533;76.4698;59.1481;0.7349;60955.673;237631.1069;3734.8113;;;;;682.3396;688.4717;6.1069;0.0252;129.1706
5;TOT-none-none;weighted;weighted;weighted-sum;-;totalizer;none;none;250;163;13;74;0;65.2;49.7585;45.7899;63.7648;49.6326;0.748;16623.3436;235388.5276;3755.1472;;;;;683.7362;690.0798;6.3006;0.0429;127.8743
6;TOT-none-ss;weighted;weighted;weighted-sum;-;totalizer;none;slot-service;250;163;13;74;0;65.2;51.1705;47.5292;64.6731;51.0404;0.748;16975.7975;237704.7914;3754.8589;;;;;684.0368;690.1595;6.0982;0.0245;127.9679
7;TOT-both-none;weighted;weighted;weighted-sum;-;totalizer;both;none;250;162;14;74;0;64.8;53.0884;48.3686;68.0595;52.9443;0.744;22424.4444;267481.9259;3756.1235;;;;;683.2469;689.4012;6.1543;0.0;128.2075
8;TOT-both-ss;weighted;weighted;weighted-sum;-;totalizer;both;slot-service;250;162;14;74;0;64.8;52.7678;49.3258;67.86;52.6227;0.744;22441.3086;267612.716;3757.358;;;;;683.463;689.7346;6.2284;0.0432;128.223
