instance_name;epsilon__delta_0.01__ORIGINAL_status;epsilon__delta_0.01__ORIGINAL_weighted_reference;epsilon__delta_0.01__ORIGINAL_stages;epsilon__delta_0.01__ORIGINAL_elapsed_s;epsilon__delta_0.01__ORIGINAL_vars;epsilon__delta_0.01__SN-both-none_status;epsilon__delta_0.01__SN-both-none_weighted_reference;epsilon__delta_0.01__SN-both-none_stages;epsilon__delta_0.01__SN-both-none_elapsed_s;epsilon__delta_0.01__SN-both-none_vars;epsilon__delta_0.01__SN-both-ss_status;epsilon__delta_0.01__SN-both-ss_weighted_reference;epsilon__delta_0.01__SN-both-ss_stages;epsilon__delta_0.01__SN-both-ss_elapsed_s;epsilon__delta_0.01__SN-both-ss_vars;epsilon__delta_0.01__SN-none-ss_status;epsilon__delta_0.01__SN-none-ss_weighted_reference;epsilon__delta_0.01__SN-none-ss_stages;epsilon__delta_0.01__SN-none-ss_elapsed_s;epsilon__delta_0.01__SN-none-ss_vars;epsilon__delta_0.01__TOT-both-none_status;epsilon__delta_0.01__TOT-both-none_weighted_reference;epsilon__delta_0.01__TOT-both-none_stages;epsilon__delta_0.01__TOT-both-none_elapsed_s;epsilon__delta_0.01__TOT-both-none_vars;epsilon__delta_0.01__TOT-both-ss_status;epsilon__delta_0.01__TOT-both-ss_weighted_reference;epsilon__delta_0.01__TOT-both-ss_stages;epsilon__delta_0.01__TOT-both-ss_elapsed_s;epsilon__delta_0.01__TOT-both-ss_vars;epsilon__delta_0.01__TOT-none-none_status;epsilon__delta_0.01__TOT-none-none_weighted_reference;epsilon__delta_0.01__TOT-none-none_stages;epsilon__delta_0.01__TOT-none-none_elapsed_s;epsilon__delta_0.01__TOT-none-none_vars;epsilon__delta_0.01__TOT-none-ss_status;epsilon__delta_0.01__TOT-none-ss_weighted_reference;epsilon__delta_0.01__TOT-none-ss_stages;epsilon__delta_0.01__TOT-none-ss_elapsed_s;epsilon__delta_0.01__TOT-none-ss_vars
instance_30_10_4_1;TIMEOUT;None;421;300.131;15458;TIMEOUT;None;421;300.123;22401;TIMEOUT;None;421;300.126;22407;TIMEOUT;None;421;300.124;15464;TIMEOUT;None;421;300.131;9576;TIMEOUT;None;421;300.128;9582;TIMEOUT;None;421;300.131;6161;TIMEOUT;None;421;300.12;6167
instance_30_10_4_10;TIMEOUT;None;414;300.132;17109;TIMEOUT;None;414;300.125;23901;TIMEOUT;None;414;300.126;23902;TIMEOUT;None;414;300.128;17515;TIMEOUT;None;414;300.129;9291;TIMEOUT;None;414;300.131;9292;TIMEOUT;None;414;300.121;5936;TIMEOUT;None;414;300.13;6342
instance_30_10_4_11;TIMEOUT;None;402;300.119;16332;TIMEOUT;None;402;300.133;22993;TIMEOUT;None;402;300.124;22993;TIMEOUT;None;402;300.127;16741;TIMEOUT;None;402;300.128;9038;TIMEOUT;None;402;300.121;9038;TIMEOUT;None;402;300.122;5726;TIMEOUT;None;402;300.126;6135
instance_30_10_4_12;TIMEOUT;None;397;300.122;16412;TIMEOUT;None;397;300.124;23897;TIMEOUT;None;397;300.124;23897;TIMEOUT;None;397;300.121;16833;TIMEOUT;None;397;300.13;9578;TIMEOUT;None;397;300.13;9578;TIMEOUT;None;397;300.129;6048;TIMEOUT;None;397;300.125;6469
instance_30_10_4_13;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.038;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.024;0;UNSATISFIABLE;None;;0.027;0
instance_30_10_4_16;TIMEOUT;None;436;300.129;17677;TIMEOUT;None;436;300.134;24538;TIMEOUT;None;436;300.126;24544;TIMEOUT;None;436;300.13;18093;TIMEOUT;None;436;300.129;9903;TIMEOUT;None;436;300.133;9909;TIMEOUT;None;436;300.127;6555;TIMEOUT;None;436;300.122;6971
instance_30_10_4_17;TIMEOUT;None;402;300.121;10648;TIMEOUT;None;402;300.118;17923;TIMEOUT;None;402;300.119;17932;TIMEOUT;None;402;300.116;11086;TIMEOUT;None;402;300.117;8318;TIMEOUT;None;402;300.118;8327;TIMEOUT;None;402;300.124;4770;TIMEOUT;None;402;300.117;5208
instance_30_10_4_18;TIMEOUT;None;414;300.125;11434;TIMEOUT;None;414;300.126;18227;TIMEOUT;None;414;300.125;18227;TIMEOUT;None;414;300.125;11434;TIMEOUT;None;414;300.119;8848;TIMEOUT;None;414;300.127;8848;TIMEOUT;None;414;300.127;5430;TIMEOUT;None;414;300.128;5430
